source_file,experiment_code,run,week,temperature,star_id,date,time,flip_number,start_frame,end_frame,duration_frames,duration_seconds,seconds_from_first_flip_start,total_frames,flip_start_time,flip_end_time,total_duration_seconds,cumulative_flip_count
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,2,137,165,29,14.5,53.0,1290,68.5,82.5,645.0,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,3,181,239,59,29.5,75.0,1290,90.5,119.5,645.0,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,4,255,280,26,13.0,112.0,1290,127.5,140.0,645.0,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,5,296,370,75,37.5,132.5,1290,148.0,185.0,645.0,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,6,380,465,86,43.0,174.5,1290,190.0,232.5,645.0,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,7,497,527,31,15.5,233.0,1290,248.5,263.5,645.0,6
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,8,563,632,70,35.0,266.0,1290,281.5,316.0,645.0,7
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,2,160,217,58,29.0,66.5,1439,80.0,108.5,719.5,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,3,232,264,33,16.5,102.5,1439,116.0,132.0,719.5,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,4,300,372,73,36.5,136.5,1439,150.0,186.0,719.5,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,5,397,428,32,16.0,185.0,1439,198.5,214.0,719.5,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,6,457,506,50,25.0,215.0,1439,228.5,253.0,719.5,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,7,524,587,64,32.0,248.5,1439,262.0,293.5,719.5,6
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,3,237,322,86,43.0,99.0,1256,118.5,161.0,628.0,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,4,348,392,45,22.5,154.5,1256,174.0,196.0,628.0,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,5,409,462,54,27.0,185.0,1256,204.5,231.0,628.0,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,6,481,545,65,32.5,221.0,1256,240.5,272.5,628.0,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i3\0-11_19_23-13_10_37-i3.csv,R1_W2_14-5C,R1,W2,14.5C,i3,2023-11-19,13:10:37,7,575,627,53,26.5,268.0,1256,287.5,313.5,628.0,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i7\0-11_19_23-13_22_44-i7.csv,R1_W2_14-5C,R1,W2,14.5C,i7,2023-11-19,13:22:44,2,173,234,62,31.0,47.5,1439,86.5,117.0,719.5,1
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i7\0-11_19_23-13_22_44-i7.csv,R1_W2_14-5C,R1,W2,14.5C,i7,2023-11-19,13:22:44,3,269,339,71,35.5,95.5,1439,134.5,169.5,719.5,2
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i7\0-11_19_23-13_22_44-i7.csv,R1_W2_14-5C,R1,W2,14.5C,i7,2023-11-19,13:22:44,4,355,397,43,21.5,138.5,1439,177.5,198.5,719.5,3
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i7\0-11_19_23-13_22_44-i7.csv,R1_W2_14-5C,R1,W2,14.5C,i7,2023-11-19,13:22:44,5,416,442,27,13.5,169.0,1439,208.0,221.0,719.5,4
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i7\0-11_19_23-13_22_44-i7.csv,R1_W2_14-5C,R1,W2,14.5C,i7,2023-11-19,13:22:44,6,455,495,41,20.5,188.5,1439,227.5,247.5,719.5,5
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i7\0-11_19_23-13_22_44-i7.csv,R1_W2_14-5C,R1,W2,14.5C,i7,2023-11-19,13:22:44,7,508,606,99,49.5,215.0,1439,254.0,303.0,719.5,6
